NOMBRE_EVENTO,FECHA_EVENTO,COMUNIDAD,DIA_SEMANA,MES,SEMANA,NUM_INSCRITAS,NUM_PAGOS,NUM_ASISTENCIAS,TOTAL_RECAUDADO,EVENTO_GRATUITO,TIPO_EVENTO,COSTE_ESTIMADO,BENEFICIO_ESTIMADO
Afterwork Run By Dash And Stars 17 Dabril Del 2025 A1Ca86,2025-04-17,ELCHE,Thursday,4,16,12,12,9,180.0,False,pago,103,77.0
Dash And Stars Run,2025-02-09,GIRONA,Sunday,2,6,25,25,23,375.0,False,pago,240,135.0
New Year Runbreakfast,2025-01-12,ELCHE,Sunday,1,2,4,4,4,28.0,False,pago,15,13.0
Planazo Pre Vacances,2024-07-21,GIRONA,Sunday,7,29,38,38,38,380.0,False,pago,280,100.0
Pre Xmas Runbrunch Elche,2024-12-22,ELCHE,Sunday,12,51,19,19,19,133.0,False,pago,240,-107.0
Rundeo By Primetime I Sisterhood,2025-05-09,GIRONA,Friday,5,19,64,64,62,960.0,False,pago,700,260.0
Runlearn 06 Dabril Del 2025 9691B4,2025-04-06,ELCHE,Sunday,4,14,17,17,14,255.0,False,pago,200,55.0
Runtrust,2025-03-09,ELCHE,Sunday,3,10,11,11,11,99.0,False,pago,84,15.0
Sisterhood Codepilates 06 Doctubre Del 2024 Fc98D7,2024-10-06,GIRONA,Sunday,10,40,29,29,26,435.0,False,pago,340,95.0
Sisterhood Xmas Event,2024-12-15,GIRONA,Sunday,12,50,14,14,14,448.0,False,pago,400,48.0
Sunday Run,2025-03-09,GIRONA,Sunday,3,10,36,36,33,540.0,False,pago,0,540.0
Sunday Run,2025-03-09,GIRONA,Sunday,3,10,36,36,33,540.0,False,pago,0,540.0
Sunday Run,2025-03-09,GIRONA,Sunday,3,10,36,36,33,540.0,False,pago,0,540.0
