localidad,tipo,distancia,fuente,fecha_datetime,año,mes,día_semana,distancia_km,nombre_evento,semana,eventos_semana,semana_libre
"Alacant, Callosa De Segura",Otros,10000 m,runedia,2025-01-02,2025,1,Jueves,10.0,XIX Carrera Nacional Callosa de Segura,1,43,False
"Alacant, Alcoi",Ruta,8000 m,runedia,2025-01-02,2025,1,Jueves,8.0,San Silvestre Alcoyana,1,43,False
"València, Xeraco",Ruta,14500 m,runedia,2025-01-06,2025,1,Lunes,14.5,Volta a peu a Xeraco,2,12,False
"València, Xeraco",Ruta,14300 m,runedia,2025-01-06,2025,1,Lunes,14.3,Volta a peu a Xeraco,2,12,False
"València, Xeraco",Ruta,14210 m,runedia,2025-01-06,2025,1,Lunes,14.21,Volta a peu a Xeraco,2,12,False
"València, Gandia",Otros,200 m,runedia,2025-01-06,2025,1,Lunes,200.0,Travessia d'hivern al port de Gandia,2,12,False
"València, Gandia",Otros,250 m,runedia,2025-01-06,2025,1,Lunes,250.0,Travessia d'hivern al port de Gandia,2,12,False
"Alacant, Callosa De Segura",Otros,10000 m,runedia,2025-01-07,2025,1,Martes,10.0,Carrera Nacional Callosa de Segura,2,12,False
"València, Valencia",Asfalto,10000 m,runedia,2025-01-08,2025,1,Miércoles,10.0,10k Divina Pastora,2,12,False
"València, Barxeta",Travesía,17500 m,runedia,2025-01-08,2025,1,Miércoles,17.5,Trail la Mallá - Serralades de Barxeta,2,12,False
"València, Alzira",Cross,10150 m,runedia,2025-01-09,2025,1,Jueves,10.15,Cross ciutat d´Alzira,2,12,False
"Castelló, Tales",Montaña,21000 m,runedia,2025-01-09,2025,1,Jueves,21.0,Cursa de muntanya Tales - Serra d'Espada,2,12,False
"Castelló, Benicássim",Asfalto,10000 m,runedia,2025-01-12,2025,1,Domingo,10.0,10k evasion Benicássim.,2,12,False
"Castelló, Benicássim",Asfalto,10000 m,runedia,2025-01-12,2025,1,Domingo,10.0,10k evasion Benicássim,2,12,False
"Alacant, Orihuela",Triatlón,70000 m,runedia,2025-01-13,2025,1,Lunes,70.0,Triatlón de Orihuela,3,16,False
"València, Sagunto",Asfalto,21097 m,runedia,2025-01-13,2025,1,Lunes,21.1,XXX Media Maratón Sagunto,3,16,False
"Alacant, El Campello",Asfalto,6000 m,runedia,2025-01-13,2025,1,Lunes,6.0,Carrera popular de Reyes Paseo Marítimo del Campello,3,16,False
"València, Puçol",Montaña,93000 m,runedia,2025-01-14,2025,1,Martes,93.0,GR10 Xtrem,3,16,False
"València, Puçol",Travesía,93000 m,runedia,2025-01-15,2025,1,Miércoles,93.0,GR10 Xtrem,3,16,False
"Alacant, El Campello",Asfalto,5400 m,runedia,2025-01-15,2025,1,Miércoles,5.4,Carrera popular de Reyes Paseo Marítimo del Campello,3,16,False
"Castelló, La Vall D'Uixo",Montaña,15000 m,runedia,2025-01-15,2025,1,Miércoles,15.0,Carrera de montaña gimnasio Ventura,3,16,False
"Alacant, Alicante",Montaña,15180 m,runedia,2025-01-15,2025,1,Miércoles,15.18,Alicante Trail Aigües,3,16,False
"València, Gandia",Montaña,11800 m,runedia,2025-01-15,2025,1,Miércoles,11.8,"Quilòmetre Vertical Gandia, Ascensió al Mondúver",3,16,False
"València, Pedralba",Ruta,10000 m,runedia,2025-01-16,2025,1,Jueves,10.0,Carrera Parque Natural del Túria,3,16,False
"Castelló, Castellón",Montaña,21000 m,runedia,2025-01-16,2025,1,Jueves,21.0,Cursa de muntanya Tombatossals,3,16,False
"València, Gandia",Montaña,11800 m,runedia,2025-01-16,2025,1,Jueves,11.8,"""Quilòmetre Vertical Gandia, Ascensió al Mondúver""",3,16,False
"Alacant, Monovar",Montaña,20650 m,runedia,2025-01-16,2025,1,Jueves,20.65,Carrera por Monaña Monovar,3,16,False
"Castelló, La Vall Dâ´Uixo",Montaña,15000 m,runedia,2025-01-16,2025,1,Jueves,15.0,Carrera de montaña gimnasio Ventura,3,16,False
"València, Massanassa",Ruta,43000 m,runedia,2025-01-17,2025,1,Viernes,43.0,Volta a Peu a l'Albufera,3,16,False
"València, Puçol",Montaña,93000 m,runedia,2025-01-19,2025,1,Domingo,93.0,GR10-Xtrem,3,16,False
"Alacant, Callosa D'En Sarrià",Caminata,10000 m,runedia,2025-01-20,2025,1,Lunes,10.0,Dia del Senderista de la Comunitat Valenciana,4,8,False
"València, Barxeta",Montaña,17500 m,runedia,2025-01-20,2025,1,Lunes,17.5,Trail la Mallá - Serralades de Barxeta,4,8,False
"Castelló, Vila-Real",Asfalto,10000 m,runedia,2025-01-20,2025,1,Lunes,10.0,Gran Premi Ciutat de Vila-real,4,8,False
"València, Sueca",Ruta,21097 m,runedia,2025-01-22,2025,1,Miércoles,21.1,Mitja Marató Via Materal Ciutat de Sueca,4,8,False
"València, Oliva",Otros,2000 m,runedia,2025-01-22,2025,1,Miércoles,2.0,Travessia d'hivern Platja d'Oliva,4,8,False
"Alacant, Santa Pola",Ruta,21097 m,runedia,2025-01-23,2025,1,Jueves,21.1,Media maraton internacional Vila de Santa Pola,4,8,False
"València, Santa Pola",Ruta,42195 m,runedia,2025-01-24,2025,1,Viernes,42.2,Mitja Marato Intl. Santa Pola,4,8,False
"València, Valencia",Asfalto,4500 m,runedia,2025-01-26,2025,1,Domingo,4.5,Beer Runners Valencia,4,8,False
"Castelló, La Vilavella",Montaña,19500 m,runedia,2025-01-27,2025,1,Lunes,19.5,"Marxa de Muntanya ""Sant Sebastià"" La Vilavella 2013",5,35,False
"València, Requena",Ruta,8846 m,runedia,2025-01-28,2025,1,Martes,8.85,Carrera restaurada de la joya,5,35,False
"Alacant, Sax",Asfalto,8000 m,runedia,2025-01-28,2025,1,Martes,8.0,Cross nocturno Gimenez Ganga Villa de Sax,5,35,False
"Castelló, La Vilavella",Montaña,19500 m,runedia,2025-01-29,2025,1,Miércoles,19.5,"Marxa de Muntanya ""Sant Sebastià"" La Vilavella 2012",5,35,False
"Alacant, Pego",Asfalto,21097 m,runedia,2025-01-29,2025,1,Miércoles,21.1,II Mitja Marató Vila de Pego 2012,5,35,False
"Alacant, Alicante",Cross,7710 m,runedia,2025-01-29,2025,1,Miércoles,7.71,Cross de San Gabriel,5,35,False
"Alacant, Xorret De Catí",Montaña,20500 m,runedia,2025-01-29,2025,1,Miércoles,20.5,"Liga CXM FEMECV 2012 ""Xorret de Catí""",5,35,False
"València, Valencia",Asfalto,7200 m,runedia,2025-01-29,2025,1,Miércoles,7.2,Trofeo Galápagos,5,35,False
"Alacant, Sax",Ruta,8000 m,runedia,2025-01-29,2025,1,Miércoles,8.0,Cross nocturno Gimenez Ganga Villa de Sax,5,35,False
"Alacant, Senija",Montaña,12400 m,runedia,2025-01-29,2025,1,Miércoles,12.4,Trail popular Camí dels Bandolers - 13k,5,35,False
"Alacant, Villena",Montaña,9000 m,runedia,2025-01-29,2025,1,Miércoles,9.0,"Media Maratón de Montaña ""Sierra de Peña Rubia""",5,35,False
"València, Palmera",Asfalto,8000 m,runedia,2025-01-29,2025,1,Miércoles,8.0,Volta a peu a Palmera,5,35,False
"Alacant, Xàbia",Btt,70000 m,runedia,2025-01-30,2025,1,Jueves,70.0,Volta a la Marina - Xàbia,5,35,False
"Alacant, Villena",Montaña,9000 m,runedia,2025-01-30,2025,1,Jueves,9.0,"Media Maratón de Montaña ""Sierra de Peña Rubia"" Corta",5,35,False
"València, Sot De Chera",Montaña,11000 m,runedia,2025-01-30,2025,1,Jueves,11.0,Corremon Trail 11k Promoción,5,35,False
"Castelló, Castelló",Asfalto,21097 m,runedia,2025-01-30,2025,1,Jueves,21.1,Mitja Marató Ciutat de Castelló,5,35,False
"Alacant, Dènia",Natación,2000 m,runedia,2025-01-30,2025,1,Jueves,2.0,Travesía de invierno Puerto de Denia,5,35,False
