shortcode,caption,alt_text,ocr_text,age_days,likes,comments,collected_at
DKr4CtviqQE,"RECAP de SUNKISSED RUN by @dashandstars ✨
Un domingo de Sol, playa, running, almuerzo saludable en @bluewave_bybitacora y buenas vibes. Qué más se puede pedir? ☺️
Gracias a todas las que vinisteis.
Nos vemos en la próxima! 🏃‍♀️",,,1,47,4,2025-06-10T15:58:21.206192+00:00
DKZ7wBssyc9,"GRVL RUN

Ahir vam provar les noves Aero Glide 3 GRVL de @salomon.spain , pensades per a terrenys tipus gravel… i Banyoles era el lloc perfecte per posar-les a prova.

Volta a l’Estany, bon ambient, brunch i piscineo a @casamauibanyoles ! 
Name a better plan!! 😎",,,7,124,5,2025-06-10T15:58:23.209196+00:00
DKIEC5XiNhw,"✨ SAVE THE DATE: 8 de junio
📍 Playa de Santa Pola

Prepárate para una mañana con sol, running suave y vibes de verano 🌞
Carrerita en grupo, brunch en @bluewave_bybitacora y detallito de @dashandstars 🎁

⚠️ Plazas muy limitadas
👉🏼 Más info e inscripciones en la BIO",,,14,80,8,2025-06-10T15:58:24.562434+00:00
DKBytR8sGbH,"✨SAVE THE DATE: 1 de juny! 
📍Banyoles 

Prepareu-vos per una sortida molt especial amb sorpresa! 🫶🏼

Farem un test de les noves Salomon Aero Glide 3 GRVL (acabades de sortir!) amb social run d’uns 10k des de @casamauibanyoles (Banyoles), brunch final i, si el temps acompanya, banyet a la piscina! 🏃🏼‍♀️🍓🏊🏽‍♀️

🎁 Regals i sortejos TOP per a totes!
⚠️ Places limitades segons talles disponibles!

👉🏼 Si vols venir, envia’m un privat i t’explico com reservar la teva plaça!

@salomon.spain",,,17,60,3,2025-06-10T15:58:25.197333+00:00
DKAEgxvM3UX,"LACE UP RUN 👟 

Ayer disfrutamos de un jueves diferente en Elche! 
En la tienda de @beurbanrunning Elche, aprendimos cómo escoger las zapatillas de running adecuadas gracias a @podologiacs
Luego, salimos a correr 5k para testear juntas las @on CloudSurfer2 🏃🏽‍♀️
Volvimos a la tienda para disfrutar de un recovery 🧃 y hablar de mucho running. 🥰

📸 @mikemanitasfotografia",,,18,85,8,2025-06-10T15:58:27.752863+00:00
DJ00s8itR12eL4DQO1CpJyumNacXfkbl4Zyu-A0,"Primer SOCIAL RUN de @sisterhoodrunningclub a Reus! Vine amb nosaltres els dimarts a les 20h
#Socialrun #runningclub #reus",,,22,3,0,2025-06-10T15:58:28.831981+00:00
DJl3dmcM_5t,"RUNdeo vibes🔥

Un recap d’algunes fotos del divendres passat al RUNdeo (Run+tardeo) al @jardinsgala 🍸🏃🏽‍♀️

Gràcies a tots els que vau venir 🥳
A @quetzal.sports 🎽, @naakbars 🍫 i @pranarom_es 🦵🏽

🎧 @didac_balaguer 
📸 @70pts (sempre a les millors mans 😘)",,,28,167,5,2025-06-10T15:58:30.515051+00:00
DJKEt4iCSeY,"¿Sabes si estás corriendo con el calzado adecuado?
Spoiler: puede que no.
Por eso, llega LACE UP RUN  a Elche🏃‍♀️

📆 jueves, 22 de mayo 
🕢 19:30h 
📍 Be Urban Running Elche 

- Mastertalk sobre cómo elegir tus zapatillas con Carlos Sempere @podologiacs 
- Social running 7k + test (opcional) de las zapatillas On CloudSurfer 2
- Recovery By @beurbanrunning Elche 🌴

Evento mixto 🏃🏃‍♂️

Inscripciones en el Link de la BIO!",,,38,53,1,2025-06-10T15:58:32.929898+00:00
DJE3fZ7sJTK,"🎉 El passat 13 d’abril vam celebrar el 2n aniversari de #SisterhoodRC com més ens agrada: corrent juntes!
🏃🏽‍♀️ Aquesta vegada a la #SalomonRun Barcelona, una cursa única entre escales, vistes i bon ambient!
Gràcies @salomon.spain , per deixar-nos formar part d’aquest esdeveniment tan especial 💜
I gràcies a totes les que vau venir a compartir quilòmetres i somriures!

#SisterhoodRunningClub #RunLikeAWoman #BarcelonaRunners #SalomonRun",,,41,70,9,2025-06-10T15:58:43.176174+00:00
DI9SYL4s9O_,"RUNdeo ~ Run + Tardeo 🏃‍♀️🍷✨
Divendres 9 de maig 
Social run per Girona i tardeo al @jardinsgala 

🎧 DJ @didac_balaguer 
📸 Fotògraf @70pts 
🍻 Begudes + pica-pica
🎁 Sorpreses per tothom
🧥 Guarda-roba i pàrquing per bicis
🍽️ 10% de descompte per sopar al Jardins Gala (només dient que vens del RUNdeo!)

Mixt i obert a tothom! Vens? 😍
Link per apuntar-te a la biografia",,,43,96,4,2025-06-10T15:58:44.854344+00:00
