dia,mes,titulo,enlace,localidad,tipo,distancia,provincia,año
D-5,Febrero,Mitja Marató Noulas,https://runedia.mundodeportivo.com/carrera/mitja-marato-noulas-2017/201710837/,"Castelló, Nules",Asfalto,21097 m,valencia,2017
D-5,Febrero,Alèdua Trail,https://runedia.mundodeportivo.com/carrera/aledua-trail-2017/201710677/,"València, Llombai",Montaña,25000 m,valencia,2017
D-5,Febrero,Carrera de las empresas Valencianas,https://runedia.mundodeportivo.com/carrera/carrera-de-las-empresas-valencianas-2017/201710697/,"València, Valencia",Tierra,10000 m,valencia,2017
D-5,Febrero,Duatló sprint  Vila-real,https://runedia.mundodeportivo.com/carrera/duatlo-sprint-vila-real-2017/201711215/,"Castelló, Vila-real",Duatlón,27500 m,valencia,2017
D-5,Febrero,Trail de Xeresa,https://runedia.mundodeportivo.com/carrera/trail-de-xeresa-2017/201710883/,"València, Xeresa",Montaña,21200 m,valencia,2017
D-5,Febrero,Mitja Marató Ciutat d'Oliva,https://runedia.mundodeportivo.com/carrera/mitja-marato-ciutat-doliva-2017/201710836/,"València, Oliva",Asfalto,21097 m,valencia,2017
D-5,Febrero,Quart de Mitja Marató Ciutat d'Oliva,https://runedia.mundodeportivo.com/carrera/quart-de-mitja-marato-ciutat-doliva-2017/201710845/,"València, Oliva",Asfalto,10547 m,valencia,2017
S-11,Febrero,Duatló de Massalfassar,https://runedia.mundodeportivo.com/carrera/duatlo-de-massalfassar-2017/201710942/,"València, Massalfassar",Duatlón,5000 m,valencia,2017
S-11,Febrero,Volta a peu a La Font d´En Carròs,https://runedia.mundodeportivo.com/carrera/volta-a-peu-a-la-font-den-carros-2017/201710973/,"València, La Font d´En Carròs",Asfalto,9400 m,valencia,2017
S-11,Febrero,Carrera Popular Solidaria Manos Unidas Alzira,https://runedia.mundodeportivo.com/carrera/carrera-popular-solidaria-manos-unidas-alzira-2017/201710605/,"València, Alzira",Asfalto,6000 m,valencia,2017
D-12,Febrero,"Media Maratón por Montaña ""El Camí dels Bandolers""",https://runedia.mundodeportivo.com/carrera/media-maraton-por-montana-el-cami-dels-bandolers-2017/201717421/,"Alacant, Senija",Montaña,25000 m,valencia,2017
D-12,Febrero,10k HdosO Castellón,https://runedia.mundodeportivo.com/carrera/10k-hdoso-castellon-2017/20173765/,"Castelló, Castellon",Asfalto,10000 m,valencia,2017
D-12,Febrero,Duatlón de Onda,https://runedia.mundodeportivo.com/carrera/duatlon-de-onda-2017/201712983/,"Castelló, Onda",Duatlón,26500 m,valencia,2017
D-12,Febrero,Camí dels Bandolers - curta,https://runedia.mundodeportivo.com/carrera/cami-dels-bandolers-curta-2017/201717278/,"Alacant, Senija",Montaña,15000 m,valencia,2017
D-12,Febrero,Carrera Popular Carnaval de Benidorm,https://runedia.mundodeportivo.com/carrera/carrera-popular-carnaval-de-benidorm-2017/201711009/,"Alacant, Benidorm",Asfalto,5315 m,valencia,2017
D-12,Febrero,Marxa Senderista XIO Llutxent,https://runedia.mundodeportivo.com/carrera/marxa-senderista-xio-llutxent-2017/201732497/,"València, Luchente",Caminata,12700 m,valencia,2017
D-12,Febrero,Integral de la Serrella,https://runedia.mundodeportivo.com/carrera/integral-de-la-serrella-2017/201711072/,"Alacant, Benasau",Travesía,22000 m,valencia,2017
D-12,Febrero,Volta a la Marina - Denia,https://runedia.mundodeportivo.com/carrera/volta-a-la-marina-denia-2017/201711177/,"Alacant, Denia",Btt,66000 m,valencia,2017
D-12,Febrero,Marxa Senderista L´Aventaor de Genovés,https://runedia.mundodeportivo.com/carrera/marxa-senderista-laventaor-de-genoves-2017/201711094/,"València, Genovés",Travesía,13000 m,valencia,2017
D-12,Febrero,Race for Two,https://runedia.mundodeportivo.com/carrera/race-for-two-2017/201711109/,"València, Moncada",Asfalto,5000 m,valencia,2017
