EVENTO,TIPO_ACTIVIDAD
Afterwork Run By Dash And Stars,almuerzo
Dash And Stars Run,almuerzo
Dimecres Morning Run  Cet,only run
Els Dimecres Amb Sisterhood,only run
Lace Up Run,charla
Los Jueves Con Sh Elche,only run
Los Jueves De Sisterhood Elche,only run
New Year Runbreakfast,almuerzo
Planazo Pre Vacances,almuerzo
Pre Xmas Runbrunch Elche,almuerzo
Primer Sisterhood Trail,only run
Run Girobeer,only run
Run Pel Dia De La Dona,only run
Rundeo By Primetime I Sisterhood,ludica
Runlearn,charla
Runtrust,almuerzo
Sisterhood Codepilates,deportiva
Sisterhood Trail,only run
Sisterhood X Zel Hotels,deportiva
Sisterhood Xmas Event,ludica
Sunday Run,only run
Sunday Run Emporda,only run
Sunkissed Run By Dash And Stars,almuerzo
