NOMBRE_EVENTO,FECHA_EVENTO,COMUNIDAD,DIA_SEMANA,DIA_SEMANA_NUM,DIA_MES,SEMANA_MES,MES,AÑO,TEMPORADA,NUM_INSCRITAS,NUM_PAGOS,NUM_ASISTENCIAS,TOTAL_RECAUDADO,EVENTO_GRATUITO,TIPO_EVENTO,COSTE_UNITARIO,COSTE_ESTIMADO,BENEFICIO_ESTIMADO,PRECIO_MEDIO,COLABORACION,TIPO_ACTIVIDAD,ES_REAL
Dash And Stars Run,2025-02-09,GIRONA,Sunday,6,9,6,2,2025,invierno,25,25,25,375.0,0,pago,9.0,225.0,150.0,15.0,0,almuerzo,1
Planazo Pre Vacances,2024-07-21,GIRONA,Sunday,6,21,29,7,2024,verano,38,38,38,380.0,0,pago,5.0,190.0,190.0,10.0,0,almuerzo,1
Rundeo By Primetime I Sisterhood,2025-05-09,GIRONA,Friday,4,9,19,5,2025,primavera,64,64,64,960.0,0,pago,11.0,704.0,256.0,15.0,0,ludica,1
Sisterhood Codepilates,2024-10-06,GIRONA,Sunday,6,6,40,10,2024,otoño,29,29,28,435.0,0,pago,12.0,348.0,87.0,15.0,0,deportiva,1
Sisterhood Xmas Event,2024-12-15,GIRONA,Sunday,6,15,50,12,2024,invierno,14,14,14,448.0,0,pago,28.0,392.0,56.0,32.0,0,ludica,1
Sunday Run,2025-03-09,GIRONA,Sunday,6,9,10,3,2025,primavera,36,36,33,540.0,0,pago,0.0,0.0,540.0,15.0,0,only run,1
Sisterhood Premium 5,2021-01-02,GIRONA,Saturday,5,2,0,1,2021,invierno,21,16,16,165.12,0,pago,5.430952380952381,114.05,51.07000000000001,10.32,0,ludico,0
Sisterhood Premium 10,2021-02-07,GIRONA,Sunday,6,7,5,2,2021,invierno,18,15,15,254.7,0,pago,8.39111111111111,151.04,103.66000000000004,16.98,0,almuerzo,0
Sisterhood Premium 15,2021-03-07,GIRONA,Sunday,6,7,9,3,2021,primavera,31,25,25,281.25,0,pago,7.688387096774194,238.34,42.91,11.25,1,almuerzo,0
Sisterhood Premium 20,2021-04-04,GIRONA,Sunday,6,4,13,4,2021,primavera,25,23,23,426.65,0,pago,9.1988,229.97,196.68000000000004,18.55,0,almuerzo,0
Sisterhood Premium 25,2021-05-01,GIRONA,Saturday,5,1,17,5,2021,primavera,30,27,27,414.18,0,pago,4.557333333333333,136.72,277.46000000000004,15.34,0,almuerzo,0
Sisterhood Premium 30,2021-06-06,GIRONA,Sunday,6,6,22,6,2021,verano,24,22,22,397.1,0,pago,6.673749999999999,160.17,236.93000000000004,18.05,0,almuerzo,0
Sisterhood Premium 35,2021-07-04,GIRONA,Sunday,6,4,26,7,2021,verano,25,19,19,292.41,0,pago,8.482000000000001,212.05,80.36000000000001,15.39,0,almuerzo,0
Sisterhood Premium 40,2021-08-01,GIRONA,Sunday,6,1,31,8,2021,verano,23,20,20,358.40000000000003,0,pago,7.100869565217391,163.32,195.08000000000004,17.92,0,deportiva,0
Sisterhood Premium 45,2021-09-03,GIRONA,Friday,4,3,35,9,2021,otoño,29,27,27,453.6,0,pago,4.040689655172414,117.18,336.42,16.8,0,ludico,0
Sisterhood Premium 50,2021-10-02,GIRONA,Saturday,5,2,39,10,2021,otoño,32,25,25,315.75,0,pago,5.4715625,175.09,140.66,12.63,0,almuerzo,0
Sisterhood Premium 55,2021-11-05,GIRONA,Friday,4,5,44,11,2021,otoño,34,26,26,499.72,0,pago,6.993235294117647,237.77,261.94999999999993,19.22,0,almuerzo,0
Sisterhood Premium 60,2021-12-04,GIRONA,Saturday,5,4,48,12,2021,invierno,21,19,19,206.34,0,pago,8.233333333333334,172.9,33.43999999999997,10.86,1,deportiva,0
Sisterhood Premium 65,2022-01-01,GIRONA,Saturday,5,1,0,1,2022,invierno,25,19,19,333.45,0,pago,8.139199999999999,203.48,129.97,17.55,0,ludico,0
Sisterhood Premium 70,2022-02-04,GIRONA,Friday,4,4,5,2,2022,invierno,27,23,23,234.83,0,pago,6.781111111111112,183.09,51.74000000000001,10.21,0,ludico,0
Sisterhood Premium 75,2022-03-06,GIRONA,Sunday,6,6,9,3,2022,primavera,26,22,22,367.18,0,pago,5.082307692307692,132.14,235.04,16.69,0,ludico,0
Sisterhood Premium 80,2022-04-01,GIRONA,Friday,4,1,13,4,2022,primavera,30,25,25,466.0,0,pago,3.604333333333333,108.13,357.87,18.64,0,almuerzo,0
Sisterhood Premium 85,2022-05-01,GIRONA,Sunday,6,1,18,5,2022,primavera,26,23,23,327.06,0,pago,5.453076923076923,141.78,185.28,14.22,0,almuerzo,0
Sisterhood Premium 90,2022-06-05,GIRONA,Sunday,6,5,22,6,2022,verano,22,20,20,385.2000000000001,0,pago,10.331818181818182,227.3,157.90000000000003,19.26,0,almuerzo,0
Sisterhood Premium 95,2022-07-01,GIRONA,Friday,4,1,26,7,2022,verano,30,22,22,392.7000000000001,0,pago,4.759666666666666,142.79,249.91000000000005,17.85,0,almuerzo,0
Sisterhood Premium 100,2022-08-07,GIRONA,Sunday,6,7,31,8,2022,verano,28,22,22,233.42,0,pago,5.251428571428571,147.04,86.38,10.61,0,ludico,0
Sisterhood Premium 105,2022-09-03,GIRONA,Saturday,5,3,35,9,2022,otoño,30,28,28,469.0,0,pago,4.509333333333333,135.28,333.72,16.75,0,deportiva,0
Sisterhood Premium 110,2022-10-01,GIRONA,Saturday,5,1,39,10,2022,otoño,26,23,23,384.1,0,pago,5.658846153846154,147.13,236.97,16.7,0,almuerzo,0
Sisterhood Premium 115,2022-11-06,GIRONA,Sunday,6,6,44,11,2022,otoño,29,27,27,289.71000000000004,0,pago,4.550689655172413,131.97,157.74000000000004,10.73,0,almuerzo,0
Sisterhood Premium 120,2022-12-02,GIRONA,Friday,4,2,48,12,2022,invierno,29,21,21,347.34,0,pago,3.4886206896551726,101.17,246.17,16.54,1,deportiva,0
Sisterhood Premium 125,2023-01-01,GIRONA,Sunday,6,1,1,1,2023,invierno,17,14,14,178.08,0,pago,11.218823529411765,190.72,-12.639999999999986,12.72,0,ludico,0
Sisterhood Premium 130,2023-02-04,GIRONA,Saturday,5,4,5,2,2023,invierno,23,18,18,329.22,0,pago,4.635217391304348,106.61,222.61,18.29,0,almuerzo,0
Sisterhood Premium 135,2023-03-03,GIRONA,Friday,4,3,9,3,2023,primavera,28,21,21,399.84,0,pago,6.494285714285715,181.84,218.0,19.04,0,ludico,0
Sisterhood Premium 140,2023-04-01,GIRONA,Saturday,5,1,13,4,2023,primavera,25,22,22,370.04,0,pago,8.0016,200.04,170.00000000000003,16.82,0,almuerzo,0
Sisterhood Premium 145,2023-05-07,GIRONA,Sunday,6,7,18,5,2023,primavera,37,29,29,525.1899999999999,0,pago,6.275945945945947,232.21,292.9799999999999,18.11,0,ludico,0
Sisterhood Premium 150,2023-06-03,GIRONA,Saturday,5,3,22,6,2023,verano,26,23,23,276.0,0,pago,9.145,237.77,38.22999999999999,12.0,0,ludico,0
Sisterhood Premium 155,2023-07-01,GIRONA,Saturday,5,1,26,7,2023,verano,30,24,24,336.0,0,pago,8.238999999999999,247.17,88.83000000000001,14.0,0,almuerzo,0
Sisterhood Premium 160,2023-08-05,GIRONA,Saturday,5,5,31,8,2023,verano,25,19,19,272.65,0,pago,8.3712,209.28,63.369999999999976,14.35,0,almuerzo,0
Sisterhood Premium 165,2023-09-03,GIRONA,Sunday,6,3,35,9,2023,otoño,34,27,27,468.99,0,pago,3.8105882352941176,129.56,339.43,17.37,0,ludico,0
Sisterhood Premium 170,2023-10-01,GIRONA,Sunday,6,1,40,10,2023,otoño,29,22,22,285.12,0,pago,4.106551724137932,119.09,166.03,12.96,0,almuerzo,0
Sisterhood Premium 175,2023-11-05,GIRONA,Sunday,6,5,44,11,2023,otoño,30,22,22,220.0,0,pago,4.768,143.04,76.96000000000001,10.0,1,almuerzo,0
Sisterhood Premium 180,2023-12-01,GIRONA,Friday,4,1,48,12,2023,invierno,26,19,19,307.61,0,pago,4.385,114.01,193.6,16.19,0,almuerzo,0
Sisterhood Premium 185,2024-01-06,GIRONA,Saturday,5,6,0,1,2024,invierno,25,19,19,351.5,0,pago,4.4368,110.92,240.58,18.5,0,almuerzo,0
Sisterhood Premium 190,2024-02-02,GIRONA,Friday,4,2,4,2,2024,invierno,23,20,20,235.2,0,pago,10.595217391304349,243.69,-8.490000000000009,11.76,1,almuerzo,0
Sisterhood Premium 195,2024-03-01,GIRONA,Friday,4,1,8,3,2024,primavera,32,24,24,453.84,0,pago,5.996875,191.9,261.94000000000005,18.91,1,ludico,0
Sisterhood Premium 200,2024-04-05,GIRONA,Friday,4,5,13,4,2024,primavera,35,27,27,336.69,0,pago,5.59,195.65,141.04,12.47,0,almuerzo,0
Sisterhood Premium 205,2024-05-05,GIRONA,Sunday,6,5,17,5,2024,primavera,29,25,25,473.25,0,pago,3.865172413793104,112.09,361.16,18.93,0,ludico,0
Sisterhood Premium 210,2024-06-01,GIRONA,Saturday,5,1,21,6,2024,verano,33,25,25,355.0,0,pago,7.143333333333333,235.73,119.27,14.2,0,ludico,0
Sisterhood Premium 215,2024-07-05,GIRONA,Friday,4,5,26,7,2024,verano,21,17,17,298.01,0,pago,10.858095238095238,228.02,69.98999999999998,17.53,0,deportiva,0
Sisterhood Premium 220,2024-08-02,GIRONA,Friday,4,2,30,8,2024,verano,24,22,22,305.58000000000004,0,pago,8.347083333333334,200.33,105.25000000000004,13.89,0,almuerzo,0
Sisterhood Premium 225,2024-09-01,GIRONA,Sunday,6,1,35,9,2024,otoño,34,27,27,277.29,0,pago,5.776764705882353,196.41,80.87999999999997,10.27,0,deportiva,0
Sisterhood Premium 230,2024-10-04,GIRONA,Friday,4,4,39,10,2024,otoño,37,29,29,545.2,0,pago,3.830810810810811,141.74,403.46,18.8,0,ludico,0
Sisterhood Premium 235,2024-11-01,GIRONA,Friday,4,1,43,11,2024,otoño,30,28,28,498.68,0,pago,6.592,197.76,300.92,17.81,0,almuerzo,0
Sisterhood Premium 240,2024-12-01,GIRONA,Sunday,6,1,48,12,2024,invierno,29,26,26,380.9,0,pago,4.773793103448276,138.44,242.46000000000004,14.65,1,ludico,0
Sisterhood Premium 245,2025-01-03,GIRONA,Friday,4,3,0,1,2025,invierno,28,26,26,410.54,0,pago,8.547500000000001,239.33,171.20999999999995,15.79,0,deportiva,0
Sisterhood Premium 250,2025-02-01,GIRONA,Saturday,5,1,4,2,2025,invierno,26,20,20,361.2,0,pago,8.439615384615385,219.43,141.76999999999998,18.06,0,almuerzo,0
Sisterhood Premium 255,2025-03-01,GIRONA,Saturday,5,1,8,3,2025,primavera,33,28,28,510.16,0,pago,3.51,115.83,394.33,18.22,1,deportiva,0
