NOMBRE_EVENTO,FECHA_EVENTO,COMUNIDAD,DIA_SEMANA,MES,SEMANA,NUM_INSCRITAS,NUM_PAGOS,NUM_ASISTENCIAS,TOTAL_RECAUDADO,EVENTO_GRATUITO,TIPO_EVENTO,COSTE_ESTIMADO,BENEFICIO_ESTIMADO
Sisterhood Free 1,2021-01-01,GIRONA,Friday,1,0,27,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 2,2021-01-01,ELCHE,Friday,1,0,26,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 3,2021-01-01,GIRONA,Friday,1,0,28,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 4,2021-01-01,GIRONA,Friday,1,0,34,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 5,2021-01-01,GIRONA,Friday,1,0,54,48,48,682.5600000000001,False,pago,104.47,578.09
Sisterhood Free 6,2021-02-01,GIRONA,Monday,2,5,26,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 7,2021-02-01,GIRONA,Monday,2,5,34,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 8,2021-02-01,GIRONA,Monday,2,5,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 9,2021-02-01,ELCHE,Monday,2,5,25,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 10,2021-02-01,ELCHE,Monday,2,5,58,52,52,664.56,False,pago,230.4,434.15999999999997
Sisterhood Free 11,2021-03-01,GIRONA,Monday,3,9,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 12,2021-03-01,ELCHE,Monday,3,9,26,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 13,2021-03-01,GIRONA,Monday,3,9,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 14,2021-03-01,ELCHE,Monday,3,9,20,0,19,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 15,2021-03-01,GIRONA,Monday,3,9,46,41,41,449.77000000000004,False,pago,227.12,222.65000000000003
Sisterhood Free 16,2021-04-01,ELCHE,Thursday,4,13,24,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 17,2021-04-01,ELCHE,Thursday,4,13,26,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Free 18,2021-04-01,GIRONA,Thursday,4,13,29,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 19,2021-04-01,GIRONA,Thursday,4,13,27,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 20,2021-04-01,ELCHE,Thursday,4,13,50,42,42,684.18,False,pago,232.82,451.35999999999996
Sisterhood Free 21,2021-05-01,ELCHE,Saturday,5,17,34,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 22,2021-05-01,GIRONA,Saturday,5,17,25,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 23,2021-05-01,GIRONA,Saturday,5,17,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 24,2021-05-01,ELCHE,Saturday,5,17,21,0,20,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 25,2021-05-01,GIRONA,Saturday,5,17,55,47,47,517.47,False,pago,141.7,375.77000000000004
Sisterhood Free 26,2021-06-01,ELCHE,Tuesday,6,22,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 27,2021-06-01,ELCHE,Tuesday,6,22,24,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Free 28,2021-06-01,GIRONA,Tuesday,6,22,29,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 29,2021-06-01,GIRONA,Tuesday,6,22,28,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 30,2021-06-01,GIRONA,Tuesday,6,22,54,48,48,829.92,False,pago,124.51,705.41
Sisterhood Free 31,2021-07-01,ELCHE,Thursday,7,26,26,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 32,2021-07-01,GIRONA,Thursday,7,26,33,0,30,0.0,True,gratuito,0.0,0.0
Sisterhood Free 33,2021-07-01,GIRONA,Thursday,7,26,26,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 34,2021-07-01,GIRONA,Thursday,7,26,24,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 35,2021-07-01,ELCHE,Thursday,7,26,58,54,54,575.64,False,pago,236.97,338.66999999999996
Sisterhood Free 36,2021-08-01,ELCHE,Sunday,8,31,23,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Free 37,2021-08-01,ELCHE,Sunday,8,31,29,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 38,2021-08-01,ELCHE,Sunday,8,31,21,0,19,0.0,True,gratuito,0.0,0.0
Sisterhood Free 39,2021-08-01,ELCHE,Sunday,8,31,23,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 40,2021-08-01,GIRONA,Sunday,8,31,57,50,50,780.5,False,pago,139.41,641.09
Sisterhood Free 41,2021-09-01,ELCHE,Wednesday,9,35,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 42,2021-09-01,ELCHE,Wednesday,9,35,28,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 43,2021-09-01,GIRONA,Wednesday,9,35,26,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 44,2021-09-01,ELCHE,Wednesday,9,35,25,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 45,2021-09-01,GIRONA,Wednesday,9,35,50,42,42,466.2,False,pago,194.12,272.08
Sisterhood Free 46,2021-10-01,ELCHE,Friday,10,39,27,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 47,2021-10-01,GIRONA,Friday,10,39,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 48,2021-10-01,ELCHE,Friday,10,39,33,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 49,2021-10-01,ELCHE,Friday,10,39,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 50,2021-10-01,ELCHE,Friday,10,39,47,41,41,763.01,False,pago,101.72,661.29
Sisterhood Free 51,2021-11-01,GIRONA,Monday,11,44,30,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 52,2021-11-01,ELCHE,Monday,11,44,26,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 53,2021-11-01,GIRONA,Monday,11,44,25,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 54,2021-11-01,ELCHE,Monday,11,44,28,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 55,2021-11-01,ELCHE,Monday,11,44,57,55,55,1074.7,False,pago,231.38,843.32
Sisterhood Free 56,2021-12-01,ELCHE,Wednesday,12,48,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 57,2021-12-01,GIRONA,Wednesday,12,48,27,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 58,2021-12-01,GIRONA,Wednesday,12,48,27,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 59,2021-12-01,GIRONA,Wednesday,12,48,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 60,2021-12-01,ELCHE,Wednesday,12,48,62,54,54,627.4799999999999,False,pago,243.02,384.4599999999999
Sisterhood Free 61,2022-01-01,GIRONA,Saturday,1,0,28,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 62,2022-01-01,ELCHE,Saturday,1,0,28,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 63,2022-01-01,GIRONA,Saturday,1,0,22,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Free 64,2022-01-01,ELCHE,Saturday,1,0,24,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 65,2022-01-01,GIRONA,Saturday,1,0,56,54,54,670.14,False,pago,185.1,485.03999999999996
Sisterhood Free 66,2022-02-01,GIRONA,Tuesday,2,5,30,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 67,2022-02-01,ELCHE,Tuesday,2,5,25,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 68,2022-02-01,GIRONA,Tuesday,2,5,30,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 69,2022-02-01,ELCHE,Tuesday,2,5,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 70,2022-02-01,GIRONA,Tuesday,2,5,50,46,46,702.88,False,pago,190.99,511.89
Sisterhood Free 71,2022-03-01,GIRONA,Tuesday,3,9,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 72,2022-03-01,GIRONA,Tuesday,3,9,32,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 73,2022-03-01,ELCHE,Tuesday,3,9,27,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 74,2022-03-01,ELCHE,Tuesday,3,9,34,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 75,2022-03-01,ELCHE,Tuesday,3,9,39,37,37,461.76,False,pago,109.6,352.15999999999997
Sisterhood Free 76,2022-04-01,GIRONA,Friday,4,13,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 77,2022-04-01,GIRONA,Friday,4,13,30,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 78,2022-04-01,GIRONA,Friday,4,13,25,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 79,2022-04-01,GIRONA,Friday,4,13,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 80,2022-04-01,GIRONA,Friday,4,13,42,40,40,762.0,False,pago,228.95,533.05
Sisterhood Free 81,2022-05-01,GIRONA,Sunday,5,18,29,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 82,2022-05-01,GIRONA,Sunday,5,18,29,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 83,2022-05-01,ELCHE,Sunday,5,18,31,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 84,2022-05-01,GIRONA,Sunday,5,18,28,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 85,2022-05-01,ELCHE,Sunday,5,18,49,46,46,821.1,False,pago,221.12,599.98
Sisterhood Free 86,2022-06-01,GIRONA,Wednesday,6,22,24,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 87,2022-06-01,GIRONA,Wednesday,6,22,31,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 88,2022-06-01,ELCHE,Wednesday,6,22,30,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 89,2022-06-01,ELCHE,Wednesday,6,22,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 90,2022-06-01,GIRONA,Wednesday,6,22,59,52,52,859.5600000000001,False,pago,196.93,662.6300000000001
Sisterhood Free 91,2022-07-01,GIRONA,Friday,7,26,29,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 92,2022-07-01,ELCHE,Friday,7,26,29,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 93,2022-07-01,GIRONA,Friday,7,26,24,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 94,2022-07-01,GIRONA,Friday,7,26,29,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 95,2022-07-01,ELCHE,Friday,7,26,51,48,48,682.5600000000001,False,pago,141.78,540.7800000000001
Sisterhood Free 96,2022-08-01,GIRONA,Monday,8,31,21,0,20,0.0,True,gratuito,0.0,0.0
Sisterhood Free 97,2022-08-01,ELCHE,Monday,8,31,30,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 98,2022-08-01,GIRONA,Monday,8,31,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 99,2022-08-01,GIRONA,Monday,8,31,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 100,2022-08-01,GIRONA,Monday,8,31,52,49,49,688.94,False,pago,172.2,516.74
Sisterhood Free 101,2022-09-01,ELCHE,Thursday,9,35,21,0,20,0.0,True,gratuito,0.0,0.0
Sisterhood Free 102,2022-09-01,GIRONA,Thursday,9,35,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 103,2022-09-01,GIRONA,Thursday,9,35,28,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 104,2022-09-01,ELCHE,Thursday,9,35,26,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 105,2022-09-01,ELCHE,Thursday,9,35,54,49,49,831.53,False,pago,209.58,621.9499999999999
Sisterhood Free 106,2022-10-01,ELCHE,Saturday,10,39,28,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 107,2022-10-01,GIRONA,Saturday,10,39,33,0,30,0.0,True,gratuito,0.0,0.0
Sisterhood Free 108,2022-10-01,GIRONA,Saturday,10,39,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 109,2022-10-01,GIRONA,Saturday,10,39,28,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 110,2022-10-01,GIRONA,Saturday,10,39,51,49,49,776.16,False,pago,175.43,600.73
Sisterhood Free 111,2022-11-01,GIRONA,Tuesday,11,44,20,0,19,0.0,True,gratuito,0.0,0.0
Sisterhood Free 112,2022-11-01,GIRONA,Tuesday,11,44,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 113,2022-11-01,GIRONA,Tuesday,11,44,30,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 114,2022-11-01,GIRONA,Tuesday,11,44,34,0,32,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 115,2022-11-01,ELCHE,Tuesday,11,44,51,49,49,951.58,False,pago,185.45,766.1300000000001
Sisterhood Free 116,2022-12-01,GIRONA,Thursday,12,48,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 117,2022-12-01,GIRONA,Thursday,12,48,28,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 118,2022-12-01,ELCHE,Thursday,12,48,24,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Free 119,2022-12-01,GIRONA,Thursday,12,48,31,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 120,2022-12-01,GIRONA,Thursday,12,48,57,53,53,739.88,False,pago,200.75,539.13
Sisterhood Free 121,2023-01-01,ELCHE,Sunday,1,1,31,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 122,2023-01-01,ELCHE,Sunday,1,1,23,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 123,2023-01-01,GIRONA,Sunday,1,1,33,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 124,2023-01-01,GIRONA,Sunday,1,1,21,0,20,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 125,2023-01-01,GIRONA,Sunday,1,1,59,53,53,670.45,False,pago,239.99,430.46000000000004
Sisterhood Free 126,2023-02-01,GIRONA,Wednesday,2,5,33,0,31,0.0,True,gratuito,0.0,0.0
Sisterhood Free 127,2023-02-01,ELCHE,Wednesday,2,5,25,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 128,2023-02-01,GIRONA,Wednesday,2,5,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 129,2023-02-01,ELCHE,Wednesday,2,5,30,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 130,2023-02-01,GIRONA,Wednesday,2,5,54,47,47,853.9900000000001,False,pago,144.91,709.0800000000002
Sisterhood Free 131,2023-03-01,GIRONA,Wednesday,3,9,22,0,20,0.0,True,gratuito,0.0,0.0
