NOMBRE_EVENTO,FECHA_EVENTO,COMUNIDAD,DIA_SEMANA,MES,SEMANA,NUM_INSCRITAS,NUM_PAGOS,NUM_ASISTENCIAS,TOTAL_RECAUDADO,EVENTO_GRATUITO,TIPO_EVENTO,COSTE_ESTIMADO,BENEFICIO_ESTIMADO
Sisterhood Free 1,2021-01-01,GIRONA,Friday,1,0,27,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 2,2021-01-01,GIRONA,Friday,1,0,25,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 3,2021-01-01,GIRONA,Friday,1,0,29,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 4,2021-01-01,GIRONA,Friday,1,0,31,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 5,2021-01-01,GIRONA,Friday,1,0,51,48,48,547.2,False,pago,115.37,431.83000000000004
Sisterhood Free 6,2021-01-01,ELCHE,Friday,1,0,29,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 7,2021-01-01,ELCHE,Friday,1,0,30,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 8,2021-01-01,ELCHE,Friday,1,0,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 9,2021-01-01,ELCHE,Friday,1,0,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 10,2021-01-01,ELCHE,Friday,1,0,54,52,52,535.6,False,pago,132.8,402.8
Sisterhood Free 11,2021-02-01,GIRONA,Monday,2,5,28,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 12,2021-02-01,GIRONA,Monday,2,5,28,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 13,2021-02-01,GIRONA,Monday,2,5,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 14,2021-02-01,GIRONA,Monday,2,5,24,0,19,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 15,2021-02-01,GIRONA,Monday,2,5,44,41,41,703.5600000000001,False,pago,205.2,498.36000000000007
Sisterhood Free 16,2021-02-01,ELCHE,Monday,2,5,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 17,2021-02-01,ELCHE,Monday,2,5,23,0,21,0.0,True,gratuito,0.0,0.0
