NOMBRE_EVENTO,FECHA_EVENTO,COMUNIDAD,DIA_SEMANA,MES,SEMANA,NUM_INSCRITAS,NUM_PAGOS,NUM_ASISTENCIAS,TOTAL_RECAUDADO,EVENTO_GRATUITO,TIPO_EVENTO,COSTE_ESTIMADO,BENEFICIO_ESTIMADO
Afterwork Run By Dash And Stars,2025-04-17,ELCHE,Thursday,4,16,12,12,9,180.0,False,pago,103,77.0
Dash And Stars Run,2025-02-09,GIRONA,Sunday,2,6,25,25,23,375.0,False,pago,240,135.0
Dimecres Morning Run  Cet,2024-05-01,GIRONA,Wednesday,5,18,12,0,12,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-02-14,GIRONA,Wednesday,2,7,9,0,6,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-02-21,GIRONA,Wednesday,2,8,11,0,9,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-02-28,GIRONA,Wednesday,2,9,7,0,7,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-03-13,GIRONA,Wednesday,3,11,13,0,13,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-03-20,GIRONA,Wednesday,3,12,9,0,7,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-03-27,GIRONA,Wednesday,3,13,4,0,2,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-04-10,GIRONA,Wednesday,4,15,14,0,10,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-04-17,GIRONA,Wednesday,4,16,11,0,11,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-04-24,GIRONA,Wednesday,4,17,12,0,11,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-05-08,GIRONA,Wednesday,5,19,7,0,7,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-05-15,GIRONA,Wednesday,5,20,2,0,2,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-05-22,GIRONA,Wednesday,5,21,9,0,8,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-05-29,GIRONA,Wednesday,5,22,5,0,3,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-06-05,GIRONA,Wednesday,6,23,9,0,8,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-06-12,GIRONA,Wednesday,6,24,2,0,2,0.0,True,gratuito,0,0.0
Els Dimecres Amb Sisterhood,2024-06-19,GIRONA,Wednesday,6,25,12,0,5,0.0,True,gratuito,0,0.0
